Pixel_X,Pixel_Y,Point_Cloud_X,Point_Cloud_Y,Point_Cloud_Z
670,923,-102.046630859375,110.88208770751953,451.7394104003906
670,924,-102.046630859375,111.20698547363281,451.7394104003906
670,927,-112.49134063720703,123.66375732421875,497.9759826660156
670,928,-112.4913558959961,124.02191925048828,497.97601318359375
670,929,-102.8968505859375,113.7715835571289,455.5031433105469
670,930,-101.37712097167969,112.41400909423828,448.775634765625
670,931,-103.985107421875,115.63700866699219,460.3206481933594
670,932,-104.78510284423828,116.86027526855469,463.862060546875
670,933,-104.554443359375,116.9359130859375,462.8409729003906
670,934,-102.72894287109375,115.2213134765625,454.7598571777344
670,935,-100.69486999511719,113.26050567626953,445.7554626464844
670,936,-98.86686706542969,111.51915740966797,437.6632385253906
670,937,-98.12760162353516,110.9977035522461,434.3906555175781
670,938,-97.73043060302734,110.8595962524414,432.6324462890625
670,939,-97.53265380859375,110.94578552246094,431.7569274902344
670,940,-97.53265380859375,111.2563247680664,431.7569274902344
670,941,-97.5304183959961,111.56430053710938,431.7470397949219
670,942,-97.64803314208984,112.00973510742188,432.2677001953125
670,943,-99.42435455322266,114.36388397216797,440.1311340332031
670,944,-99.53571319580078,114.80886840820312,440.62408447265625
670,945,-97.52408599853516,112.79907989501953,431.7190246582031
670,946,-97.52408599853516,113.1095962524414,431.71905517578125
671,929,-100.16806030273438,111.10816192626953,444.8396911621094
671,930,-100.1680679321289,111.42810821533203,444.8397216796875
671,931,-100.1680679321289,111.748046875,444.8397216796875
671,932,-99.78876495361328,111.64363098144531,443.1552734375
671,933,-99.43452453613281,111.56490325927734,441.58209228515625
671,934,-99.38947296142578,111.8318099975586,441.38201904296875
671,935,-98.86434936523438,111.55672454833984,439.04998779296875
671,936,-98.21292114257812,111.13536834716797,436.15704345703125
671,937,-97.73112487792969,110.90233612060547,434.0174255371094
671,938,-97.41928100585938,110.859619140625,432.6325378417969
671,939,-97.22209930419922,110.94578552246094,431.75689697265625
671,940,-97.22211456298828,111.2563247680664,431.7569274902344
671,941,-97.21876525878906,111.56301879882812,431.7420654296875
671,942,-97.21358489990234,111.8675765991211,431.71905517578125
671,943,-97.21358489990234,112.17808532714844,431.71905517578125
671,944,-97.1937026977539,112.465576171875,431.6307373046875
671,945,-97.1564712524414,112.7328109741211,431.46539306640625
671,946,-97.11256408691406,112.99205017089844,431.2704162597656
671,947,-97.04222869873047,113.22017669677734,430.95806884765625
672,930,-99.8481216430664,111.42810821533203,444.8397216796875
672,931,-99.8481216430664,111.748046875,444.8397216796875
672,932,-99.47003173828125,111.64363098144531,443.1552734375
672,933,-99.0924301147461,111.5373306274414,441.47296142578125
672,934,-98.9577407836914,111.70281982421875,440.8728942871094
672,935,-98.45855712890625,111.45484161376953,438.64898681640625
672,936,-97.9588394165039,111.20304107666016,436.4226379394531
672,937,-97.9588394165039,111.51692962646484,436.4226379394531
672,938,-97.50117492675781,111.30834197998047,434.3836669921875
672,939,-96.91158294677734,110.94578552246094,431.7569274902344
672,940,-96.91158294677734,111.2563247680664,431.7569274902344
672,941,-96.90824890136719,111.56301879882812,431.7420654296875
